iter	Passed	Remaining
0	2	241
1	4	235
2	6	213
3	7	189
4	9	183
5	11	174
6	12	164
7	13	159
8	15	157
9	16	151
10	17	144
11	19	140
12	20	137
13	22	136
14	23	132
15	24	129
16	25	126
17	27	125
18	28	123
19	30	120
20	31	116
21	32	114
22	33	113
23	35	111
24	36	109
25	37	107
26	39	105
27	40	104
28	41	102
29	43	100
30	44	98
31	45	97
32	47	96
33	49	95
34	50	93
35	51	91
36	53	90
37	54	89
38	55	87
39	57	85
40	58	84
41	59	81
42	60	80
43	62	78
44	63	77
45	64	76
46	66	74
47	67	73
48	69	71
49	70	70
50	71	69
51	73	67
52	74	66
53	76	64
54	77	63
55	78	61
56	80	60
57	81	58
58	82	57
59	84	56
60	85	54
61	87	53
62	88	52
63	90	50
64	91	49
65	92	47
66	94	46
67	95	44
68	96	43
69	98	42
70	99	40
71	100	39
72	102	37
73	103	36
74	105	35
75	106	33
76	107	32
77	109	30
78	110	29
79	111	27
80	113	26
81	114	25
82	116	23
83	117	22
84	119	21
85	120	19
86	122	18
87	123	16
88	124	15
89	126	14
90	128	12
91	129	11
92	131	9
93	132	8
94	134	7
95	135	5
96	137	4
97	138	2
98	139	1
99	141	0
